idx	variant_name	f1	f2	f3	f4
12	initialBdepleted	parameter	depleteBpb	Value	1
13	finj optimization	parameter	kTrexit	Value	0.03
13	finj optimization	parameter	finj	Value	1.2
14	tissue3	parameter	KTrp3	Value	50
14	tissue3	parameter	KBp3	Value	60
14	tissue3	parameter	tissue3on	Value	1
14	tissue3	parameter	Vtissue3	Value	50
14	tissue3	parameter	kBtiss3exit	Value	0.041
14	tissue3	parameter	fBtissue3_v1	Value	1
14	tissue3	parameter	kBmat_kBapop_ratio	Value	0.25
15	validation	parameter	fvalidation	Value	1
16	act optimizn v24	parameter	fTaprolif	Value	9.806
16	act optimizn v24	parameter	kTaapop	Value	0.639
16	act optimizn v24	parameter	fTrapop	Value	0.249
16	act optimizn v24	parameter	fTa0apop	Value	0.313
16	act optimizn v24	parameter	fa0	Value	0.002
16	act optimizn v24	parameter	fAICD	Value	22.027
16	act optimizn v24	parameter	kTact	Value	8.278
16	act optimizn v24	parameter	fTadeact	Value	0.002
16	act optimizn v24	parameter	fTa0deact	Value	1
16	act optimizn v24	parameter	kBkill	Value	510.411
16	act optimizn v24	parameter	kTaexit	Value	1.506
16	act optimizn v24	parameter	KdrugactT	Value	600
16	act optimizn v24	parameter	KdrugB	Value	0.228
16	act optimizn v24	parameter	nkill	Value	1.002
16	act optimizn v24	parameter	KmBT_act	Value	3.681
16	act optimizn v24	parameter	fTap	Value	1.52
16	act optimizn v24	parameter	kBapop	Value	0.182
16	act optimizn v24	parameter	fdrug	Value	6.999
16	act optimizn v24	parameter	kTrexit	Value	0.056
16	act optimizn v24	parameter	finj	Value	0.585
16	act optimizn v24	parameter	fapop_v24	Value	1
16	act optimizn v24	parameter	ndrugactT	Value	0.7
16	act optimizn v24	parameter	fBkill	Value	0.001959
17	tissue3_v2	parameter	KTrp3	Value	50
17	tissue3_v2	parameter	KBp3	Value	60
17	tissue3_v2	parameter	tissue3on	Value	1
17	tissue3_v2	parameter	Vtissue3	Value	50
17	tissue3_v2	parameter	kBtiss3exit	Value	1
17	tissue3_v2	parameter	fBtissue3_v1	Value	0
17	tissue3_v2	parameter	kBmat_kBapop_ratio	Value	0.22189
17	tissue3_v2	parameter	kBapop	Value	0.005
18	B cell migration	parameter	fBexit	Value	1
19	B cell proliferation	parameter	kBprolif	Value	0.02
20	human parameters	parameter	Vpb	Value	5000
20	human parameters	parameter	Vtissue	Value	210
20	human parameters	parameter	Vtissue2	Value	400
20	human parameters	parameter	Vtissue3	Value	500
20	human parameters	parameter	Trpbref_perml	Value	500000
20	human parameters	parameter	Trpbo_perml	Value	500000
20	human parameters	parameter	Bpbref_perml	Value	500000
20	human parameters	parameter	Bpbo_perml	Value	500000
20	human parameters	parameter	KTrp	Value	200
20	human parameters	parameter	KBp	Value	333
20	human parameters	parameter	KTrp2	Value	190
20	human parameters	parameter	KBp2	Value	190
20	human parameters	parameter	KTrp3	Value	60
20	human parameters	parameter	KBp3	Value	80
20	human parameters	parameter	Cl_tdb	Value	1.5
21	human ALL parameters	parameter	Vpb	Value	5000
21	human ALL parameters	parameter	Vtissue	Value	210
21	human ALL parameters	parameter	Vtissue2	Value	400
21	human ALL parameters	parameter	Vtissue3	Value	500
21	human ALL parameters	parameter	Trpbref_perml	Value	200000
21	human ALL parameters	parameter	Trpbo_perml	Value	200000
21	human ALL parameters	parameter	Bpbref_perml	Value	70000
21	human ALL parameters	parameter	Bpbo_perml	Value	70000
21	human ALL parameters	parameter	KTrp	Value	200
21	human ALL parameters	parameter	KBp	Value	333
21	human ALL parameters	parameter	KTrp2	Value	190
21	human ALL parameters	parameter	KBp2	Value	190
21	human ALL parameters	parameter	KTrp3	Value	60
21	human ALL parameters	parameter	KBp3	Value	80
21	human ALL parameters	parameter	Cl_tdb	Value	1.5
22	Blin parameters	parameter	KdrugactT_blin	Value	0.1
22	Blin parameters	parameter	ndrugactT_blin	Value	1
22	Blin parameters	parameter	KmBT_act_blin	Value	0.716
22	Blin parameters	parameter	KdrugB_blin	Value	0.15
22	Blin parameters	parameter	nkill_blin	Value	1.027
22	Blin parameters	parameter	KmTB_kill_blin	Value	0.75
23	human CLL parameters	parameter	Vpb	Value	5000
23	human CLL parameters	parameter	Vtissue	Value	210
23	human CLL parameters	parameter	Vtissue2	Value	400
23	human CLL parameters	parameter	Vtissue3	Value	500
23	human CLL parameters	parameter	Trpbref_perml	Value	500000
23	human CLL parameters	parameter	Trpbo_perml	Value	500000
23	human CLL parameters	parameter	Bpbref_perml	Value	500000
23	human CLL parameters	parameter	Bpbo_perml	Value	500000
23	human CLL parameters	parameter	KTrp	Value	200
23	human CLL parameters	parameter	KBp	Value	333
23	human CLL parameters	parameter	KTrp2	Value	190
23	human CLL parameters	parameter	KBp2	Value	190
23	human CLL parameters	parameter	KTrp3	Value	60
23	human CLL parameters	parameter	KBp3	Value	80
23	human CLL parameters	parameter	Cl_tdb	Value	1.5
23	human CLL parameters	parameter	kBapop_cll	Value	0.1215
24	act optimizn v22_2	parameter	fTaprolif	Value	2.106
24	act optimizn v22_2	parameter	kTaapop	Value	0.061
24	act optimizn v22_2	parameter	fTrapop	Value	0.2
24	act optimizn v22_2	parameter	fTa0apop	Value	2.019
24	act optimizn v22_2	parameter	fa0	Value	0.002
24	act optimizn v22_2	parameter	fAICD	Value	1.497
24	act optimizn v22_2	parameter	kTact	Value	9.828
24	act optimizn v22_2	parameter	fTadeact	Value	0.005
24	act optimizn v22_2	parameter	fTa0deact	Value	0.001
24	act optimizn v22_2	parameter	kBkill	Value	275.189
24	act optimizn v22_2	parameter	kTaexit	Value	0.123
24	act optimizn v22_2	parameter	KdrugactT	Value	130.083
24	act optimizn v22_2	parameter	KdrugB	Value	1.302
24	act optimizn v22_2	parameter	nkill	Value	1.027
24	act optimizn v22_2	parameter	KmBT_act	Value	0.716
24	act optimizn v22_2	parameter	fTap	Value	3.773
24	act optimizn v22_2	parameter	kBapop	Value	0.02
24	act optimizn v22_2	parameter	fdrug	Value	6.3839
24	act optimizn v22_2	parameter	kTrexit	Value	0.045
24	act optimizn v22_2	parameter	finj	Value	1
24	act optimizn v22_2	parameter	kBprolif	Value	0.05
24	act optimizn v22_2	parameter	fBexit	Value	0.333
24	act optimizn v22_2	parameter	fBkill	Value	0.1
24	act optimizn v22_2	parameter	fTact	Value	0.25
24	act optimizn v22_2	parameter	fKmTB_kill	Value	10
24	act optimizn v22_2	parameter	S	Value	1.4
24	act optimizn v22_2	parameter	ndrugactT	Value	0.8
24	act optimizn v22_2	parameter	fapop_v24	Value	1
24	act optimizn v22_2	parameter	IL6_tiss_contribution	Value	0.003
25	human DLBCL parameters	parameter	Trpbref_perml	Value	500000
25	human DLBCL parameters	parameter	Trpbo_perml	Value	500000
25	human DLBCL parameters	parameter	Bpbref_perml	Value	250000
25	human DLBCL parameters	parameter	Bpbo_perml	Value	250000
26	Cyno PK Lin (GUI Fit - all values normalized)	parameter	Cl_tdb	Value	8.5
26	Cyno PK Lin (GUI Fit - all values normalized)	parameter	Cld_tdb	Value	24.17
26	Cyno PK Lin (GUI Fit - all values normalized)	parameter	Vc_tdb	Value	36.78
26	Cyno PK Lin (GUI Fit - all values normalized)	parameter	Vp_tdb	Value	173.47
26	Cyno PK Lin (GUI Fit - all values normalized)	parameter	Vm_tdb	Value	0
26	Cyno PK Lin (GUI Fit - all values normalized)	parameter	Km_tdb	Value	5.72
27	Human PK Lin (GUI Fit - all values normalized)	parameter	Cl_tdb	Value	5.4
27	Human PK Lin (GUI Fit - all values normalized)	parameter	Cld_tdb	Value	24.17
27	Human PK Lin (GUI Fit - all values normalized)	parameter	Vc_tdb	Value	36.78
27	Human PK Lin (GUI Fit - all values normalized)	parameter	Vp_tdb	Value	173.47
27	Human PK Lin (GUI Fit - all values normalized)	parameter	Vm_tdb	Value	0
27	Human PK Lin (GUI Fit - all values normalized)	parameter	Km_tdb	Value	5.72
27	Human PK Lin (GUI Fit - all values normalized)	parameter	kabs_TDB	Value	0
27	Human PK Lin (GUI Fit - all values normalized)	parameter	fbio_TDB	Value	0
28	Tumor compartment - DLBCL	parameter	tumor_on	Value	1
28	Tumor compartment - DLBCL	parameter	Vtumor	Value	100
28	Tumor compartment - DLBCL	parameter	KTrptumor	Value	100
28	Tumor compartment - DLBCL	parameter	KBptumor	Value	1600
28	Tumor compartment - DLBCL	parameter	Kptumor	Value	0.05
28	Tumor compartment - DLBCL	parameter	kBtumorprolif	Value	0.025
28	Tumor compartment - DLBCL	parameter	IL6_tiss_contribution	Value	0.0004
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	parameter	Cl_tdb	Value	5.4
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	parameter	Cld_tdb	Value	24.17
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	parameter	Vc_tdb	Value	36.78
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	parameter	Vp_tdb	Value	173.47
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	parameter	Vm_tdb	Value	0
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	parameter	Km_tdb	Value	5.72
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	parameter	kabs_TDB	Value	0.35
29	Human PK Lin (GUI Fit - all values normalized) - SC - Ave Abs - Ave fbio	parameter	fbio_TDB	Value	0.5
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	parameter	Cl_tdb	Value	5.4
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	parameter	Cld_tdb	Value	24.17
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	parameter	Vc_tdb	Value	36.78
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	parameter	Vp_tdb	Value	173.47
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	parameter	Vm_tdb	Value	0
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	parameter	Km_tdb	Value	5.72
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	parameter	kabs_TDB	Value	0.5
30	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - High fbio	parameter	fbio_TDB	Value	0.8
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	parameter	Cl_tdb	Value	5.4
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	parameter	Cld_tdb	Value	24.17
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	parameter	Vc_tdb	Value	36.78
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	parameter	Vp_tdb	Value	173.47
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	parameter	Vm_tdb	Value	0
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	parameter	Km_tdb	Value	5.72
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	parameter	kabs_TDB	Value	0.2
31	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Low fbio	parameter	fbio_TDB	Value	0.2
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	parameter	Cl_tdb	Value	5.4
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	parameter	Cld_tdb	Value	24.17
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	parameter	Vc_tdb	Value	36.78
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	parameter	Vp_tdb	Value	173.47
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	parameter	Vm_tdb	Value	0
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	parameter	Km_tdb	Value	5.72
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	parameter	kabs_TDB	Value	0.5
32	Human PK Lin (GUI Fit - all values normalized) - SC - Fast Abs - Ave fbio	parameter	fbio_TDB	Value	0.5
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	parameter	Bcell_tumor_trafficking_on	Value	5.4
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	parameter	Cld_tdb	Value	24.17
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	parameter	Vc_tdb	Value	36.78
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	parameter	Vp_tdb	Value	173.47
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	parameter	Vm_tdb	Value	0
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	parameter	Km_tdb	Value	5.72
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	parameter	kabs_TDB	Value	0.2
33	Human PK Lin (GUI Fit - all values normalized) - SC - Slow Abs - Ave fbio	parameter	fbio_TDB	Value	0.5
34	Tumor B cell off	parameter	Bcell_tumor_trafficking_on	Value	0
35	chimp - blin	parameter	IL6_tiss_contribution	Value	0.0004
