idx	variant	content_index	action	class	name	value
15	validation	1	parameter	fvalidation	Value	1
16	act optimizn v24	1	parameter	fTaprolif	Value	9.806
16	act optimizn v24	2	parameter	kTaapop	Value	0.639
16	act optimizn v24	3	parameter	fTrapop	Value	0.249
16	act optimizn v24	4	parameter	fTa0apop	Value	0.313
16	act optimizn v24	5	parameter	fa0	Value	0.002
16	act optimizn v24	6	parameter	fAICD	Value	22.027
16	act optimizn v24	7	parameter	kTact	Value	8.278
16	act optimizn v24	8	parameter	fTadeact	Value	0.002
16	act optimizn v24	9	parameter	fTa0deact	Value	1
16	act optimizn v24	10	parameter	kBkill	Value	510.411
16	act optimizn v24	11	parameter	kTaexit	Value	1.506
16	act optimizn v24	12	parameter	KdrugactT	Value	600
16	act optimizn v24	13	parameter	KdrugB	Value	0.228
16	act optimizn v24	14	parameter	nkill	Value	1.002
16	act optimizn v24	15	parameter	KmBT_act	Value	3.681
16	act optimizn v24	16	parameter	fTap	Value	1.52
16	act optimizn v24	17	parameter	kBapop	Value	0.182
16	act optimizn v24	18	parameter	fdrug	Value	6.999
16	act optimizn v24	19	parameter	kTrexit	Value	0.056
16	act optimizn v24	20	parameter	finj	Value	0.585
16	act optimizn v24	21	parameter	fapop_v24	Value	1
16	act optimizn v24	22	parameter	ndrugactT	Value	0.7
16	act optimizn v24	23	parameter	fBkill	Value	0.001959
17	tissue3_v2	1	parameter	KTrp3	Value	50
17	tissue3_v2	2	parameter	KBp3	Value	60
17	tissue3_v2	3	parameter	tissue3on	Value	1
17	tissue3_v2	4	parameter	Vtissue3	Value	50
17	tissue3_v2	5	parameter	kBtiss3exit	Value	1
17	tissue3_v2	6	parameter	fBtissue3_v1	Value	0
17	tissue3_v2	7	parameter	kBmat_kBapop_ratio	Value	0.2218935
17	tissue3_v2	8	parameter	kBapop	Value	0.005
18	B cell migration	1	parameter	fBexit	Value	1
19	B cell proliferation	1	parameter	kBprolif	Value	0.02
20	human parameters	1	parameter	Vpb	Value	5000
20	human parameters	2	parameter	Vtissue	Value	210
20	human parameters	3	parameter	Vtissue2	Value	400
20	human parameters	4	parameter	Vtissue3	Value	500
20	human parameters	5	parameter	Trpbref_perml	Value	500000
20	human parameters	6	parameter	Trpbo_perml	Value	500000
20	human parameters	7	parameter	Bpbref_perml	Value	500000
20	human parameters	8	parameter	Bpbo_perml	Value	500000
20	human parameters	9	parameter	KTrp	Value	200
20	human parameters	10	parameter	KBp	Value	333
20	human parameters	11	parameter	KTrp2	Value	190
20	human parameters	12	parameter	KBp2	Value	190
20	human parameters	13	parameter	KTrp3	Value	60
20	human parameters	14	parameter	KBp3	Value	80
20	human parameters	15	parameter	Cl_tdb	Value	1.5
21	human ALL parameters	1	parameter	Vpb	Value	5000
21	human ALL parameters	2	parameter	Vtissue	Value	210
21	human ALL parameters	3	parameter	Vtissue2	Value	400
21	human ALL parameters	4	parameter	Vtissue3	Value	500
21	human ALL parameters	5	parameter	Trpbref_perml	Value	200000
21	human ALL parameters	6	parameter	Trpbo_perml	Value	200000
21	human ALL parameters	7	parameter	Bpbref_perml	Value	70000
21	human ALL parameters	8	parameter	Bpbo_perml	Value	70000
21	human ALL parameters	9	parameter	KTrp	Value	200
21	human ALL parameters	10	parameter	KBp	Value	333
21	human ALL parameters	11	parameter	KTrp2	Value	190
21	human ALL parameters	12	parameter	KBp2	Value	190
21	human ALL parameters	13	parameter	KTrp3	Value	60
21	human ALL parameters	14	parameter	KBp3	Value	80
21	human ALL parameters	15	parameter	Cl_tdb	Value	1.5
22	Blin parameters	1	parameter	KdrugactT_blin	Value	0.1
22	Blin parameters	2	parameter	ndrugactT_blin	Value	1
22	Blin parameters	3	parameter	KmBT_act_blin	Value	0.716
22	Blin parameters	4	parameter	KdrugB_blin	Value	0.15
22	Blin parameters	5	parameter	nkill_blin	Value	1.027
22	Blin parameters	6	parameter	KmTB_kill_blin	Value	0.75
23	human CLL parameters	1	parameter	Vpb	Value	5000
23	human CLL parameters	2	parameter	Vtissue	Value	210
23	human CLL parameters	3	parameter	Vtissue2	Value	400
23	human CLL parameters	4	parameter	Vtissue3	Value	500
23	human CLL parameters	5	parameter	Trpbref_perml	Value	500000
23	human CLL parameters	6	parameter	Trpbo_perml	Value	500000
23	human CLL parameters	7	parameter	Bpbref_perml	Value	500000
23	human CLL parameters	8	parameter	Bpbo_perml	Value	500000
23	human CLL parameters	9	parameter	KTrp	Value	200
23	human CLL parameters	10	parameter	KBp	Value	333
23	human CLL parameters	11	parameter	KTrp2	Value	190
23	human CLL parameters	12	parameter	KBp2	Value	190
23	human CLL parameters	13	parameter	KTrp3	Value	60
23	human CLL parameters	14	parameter	KBp3	Value	80
23	human CLL parameters	15	parameter	Cl_tdb	Value	1.5
23	human CLL parameters	16	parameter	kBapop_cll	Value	0.1215
24	act optimizn v22_2	1	parameter	fTaprolif	Value	2.106
24	act optimizn v22_2	2	parameter	kTaapop	Value	0.061
24	act optimizn v22_2	3	parameter	fTrapop	Value	0.2
24	act optimizn v22_2	4	parameter	fTa0apop	Value	2.019
24	act optimizn v22_2	5	parameter	fa0	Value	0.002
24	act optimizn v22_2	6	parameter	fAICD	Value	1.497
24	act optimizn v22_2	7	parameter	kTact	Value	9.828
24	act optimizn v22_2	8	parameter	fTadeact	Value	0.005
24	act optimizn v22_2	9	parameter	fTa0deact	Value	0.001
24	act optimizn v22_2	10	parameter	kBkill	Value	275.189
24	act optimizn v22_2	11	parameter	kTaexit	Value	0.123
24	act optimizn v22_2	12	parameter	KdrugactT	Value	130.083
24	act optimizn v22_2	13	parameter	KdrugB	Value	1.302
24	act optimizn v22_2	14	parameter	nkill	Value	1.027
24	act optimizn v22_2	15	parameter	KmBT_act	Value	0.716
24	act optimizn v22_2	16	parameter	fTap	Value	3.773
24	act optimizn v22_2	17	parameter	kBapop	Value	0.02
24	act optimizn v22_2	18	parameter	fdrug	Value	6.3839
24	act optimizn v22_2	19	parameter	kTrexit	Value	0.045
24	act optimizn v22_2	20	parameter	finj	Value	1
24	act optimizn v22_2	21	parameter	kBprolif	Value	0.05
24	act optimizn v22_2	22	parameter	fBexit	Value	0.333
24	act optimizn v22_2	23	parameter	fBkill	Value	0.1
24	act optimizn v22_2	24	parameter	fTact	Value	0.25
24	act optimizn v22_2	25	parameter	fKmTB_kill	Value	10
24	act optimizn v22_2	26	parameter	S	Value	1.4
24	act optimizn v22_2	27	parameter	ndrugactT	Value	0.8
24	act optimizn v22_2	28	parameter	fapop_v24	Value	1
24	act optimizn v22_2	29	parameter	IL6_tiss_contribution	Value	0.003
25	human DLBCL parameters	1	parameter	Trpbref_perml	Value	500000
25	human DLBCL parameters	2	parameter	Trpbo_perml	Value	500000
25	human DLBCL parameters	3	parameter	Bpbref_perml	Value	250000
25	human DLBCL parameters	4	parameter	Bpbo_perml	Value	250000
26	Cyno PK Lin (GUI Fit - all values normalized)	1	parameter	Cl_tdb	Value	8.5
26	Cyno PK Lin (GUI Fit - all values normalized)	2	parameter	Cld_tdb	Value	24.17
26	Cyno PK Lin (GUI Fit - all values normalized)	3	parameter	Vc_tdb	Value	36.78
26	Cyno PK Lin (GUI Fit - all values normalized)	4	parameter	Vp_tdb	Value	173.47
26	Cyno PK Lin (GUI Fit - all values normalized)	5	parameter	Vm_tdb	Value	0
