weight_tumor,start_idx,status,scalar_loss,tumor_loss,il6_loss,tumor_mean_logratio,il6_mean_logratio,n_failed,dose1_mg,dose2_mg,dose3_mg,dose4_mg,dose5_mg,dose6_mg
0.5,5,not_converged,-0.01065543293385139,-0.05438016608503897,-0.021235250451166574,-0.05896052190331726,-0.028049264398841273,0,1.9987235150886964,9.814059012095676,11.510131446442292,13.21727745444969,22.57999760925755,8.342183352942163
0.65,1,not_converged,-0.006786235937895796,-0.06904548809244183,-0.01924177642539092,-0.07644268509391287,-0.027708844543446284,0,2.1361995236858324,9.749420697220843,12.216566180836358,12.569272607386933,16.944235223888246,14.827739157422682
0.65,2,not_converged,-0.006913691248914645,-0.02095855743905317,-0.01969478574733627,-0.02563776014956061,-0.024305655739308665,0,1.8554826398303,5.736695529908526,17.03055584899447,12.776767585953625,16.762297093538045,17.397522717022703
0.65,3,not_converged,-0.007367821195539503,-0.0703847483546037,-0.02089930386501787,-0.0784613153597306,-0.030082579509651472,0,2.160721373524253,9.951187487410282,10.207704238266457,14.177208103254769,15.472800167599429,15.706031739214943
0.65,4,not_converged,-0.0039040888971175317,-0.043723676662844116,-0.011062276315931735,-0.046180861350776335,-0.0139977294665934,0,1.8724243564492828,9.906829821171474,15.798949633189503,12.9059776505829,14.492112232662418,20.513130530358847
0.65,5,not_converged,-0.008239202294480491,-0.052809085248690324,-0.023419084883884236,-0.05986207969054116,-0.03076486375646957,0,2.0449084605181915,10.509522082949143,5.151357049178298,17.45333936639052,14.113032538319226,19.264991456702507
0.8,1,not_converged,-0.003806944741750791,-0.07156095620645259,-0.018729750133794354,-0.08021458057306048,-0.027838864279499963,0,2.1908285034466473,8.974439668483178,12.504533154412753,11.820885099347723,18.484331411829643,14.432682657777304
0.8,2,not_converged,-0.003908230554923506,-0.033216596218937744,-0.019388897492249535,-0.038710352231152816,-0.024493819769629662,0,1.9313259376593384,6.422575680211149,13.874075935073195,14.523028508394251,17.836245230999616,16.418870062161044
0.8,3,not_converged,-0.0037634465544730605,-0.04410308281626038,-0.018622198242857407,-0.05189502324098677,-0.026097846433277713,0,2.050111818827106,5.888566788237142,14.000034422572943,15.811420340145965,15.028016098461043,18.806098893096216
0.8,4,not_converged,-0.003379238681628414,-0.04957459083136864,-0.016681213830985614,-0.05604623442432295,-0.02325949664614837,0,2.0492175891962985,6.700283586652687,13.833416758338334,16.38526258784058,11.27802732146708,23.96878076612231
0.8,5,not_converged,0.0007037859835658888,-0.09271297367348817,0.003885895916606791,-0.10434704600247115,-0.005326408969754964,0,2.2135910169274453,13.694554225365389,18.27738800913339,23.76485878453436,0.07157368914067219,19.25218352301925
0.95,1,not_converged,-0.0010777645613748801,-0.052698684960179515,-0.020533482730523647,-0.05890798304451459,-0.027769581481635747,0,2.055647824087082,7.254505522358695,14.130892034667388,13.754533162225194,17.414166967188798,14.741087752331495
0.95,2,not_converged,-0.0010625323911857513,-0.03481791426760078,-0.020568538913716877,-0.042026964381865754,-0.027467505476108867,0,1.975316259816103,6.183590440959547,12.527805221720438,15.67498894839765,18.56206384371621,14.49001323127021
0.95,3,not_converged,-0.0008635900234293686,-0.052372913426882516,-0.016260454658817772,-0.05748959645060639,-0.022532728627568645,0,2.021884614015492,7.5226085315699915,19.371932803844803,8.497521783896447,14.278175029544272,22.35527658528156
0.95,4,not_converged,-0.0011080551004785109,-0.06159391100739577,-0.020969847852577106,-0.06901936990583057,-0.02902129843173321,0,2.125472670420696,7.811012226477062,9.920587243726215,20.188701685202926,19.038107457499713,7.505693736267049
0.95,5,not_converged,-0.0009923391551782833,-0.04380647019583708,-0.018995464705139603,-0.050693919501264464,-0.025337895825686733,0,2.0252234196138628,6.587647230432435,11.64811029271574,18.737515326027356,11.10441914047878,22.798455924467916
