weight_tumor,start_idx,eval,scalar_loss,tumor_loss,il6_loss,n_failed,doses_mg
0.05,1,89,0.01166610535444251,-0.10079666704837449,0.012273142844308249,0,"2.479923,10.119589,9.172861,17.204457,15.89986,13.343298"
0.05,1,90,-0.005056893605854551,-0.1008035681250684,-0.012289495994608268,0,"2.460308,10.352635,10.271387,16.77956,14.081081,14.047502"
0.05,1,91,-0.00010493778721144971,-0.1000075794447115,-0.00010509217965110063,0,"2.446673,11.387505,8.346591,15.76388,16.366812,13.494489"
0.05,1,92,0.003044311957547312,-0.10424226748200309,0.00320681851929272,0,"2.521038,10.313488,8.798368,17.577626,14.375501,15.934337"
0.05,1,93,-0.005361997441672427,-0.10692199157405688,-0.01110711935882086,0,"2.492575,12.040843,9.530754,16.498864,14.320473,11.692839"
0.05,1,94,-0.0009773554663910617,-0.1054964581430423,-0.0010222205620525893,0,"2.548657,10.073518,9.352964,16.332361,16.317163,11.23621"
0.05,1,95,-0.0006640771179515452,-0.1007220856835111,-0.0006930343484592982,0,"2.486061,9.927863,9.105306,17.546514,15.748796,13.443732"
0.05,1,96,-0.004272587951794717,-0.10317981064390254,-0.0044875429425969005,0,"2.474162,11.198701,9.732406,15.970035,15.56072,9.967402"
0.05,1,97,0.03406932030725366,-0.10816542907239157,0.0358323030429647,0,"2.55795,10.061756,10.646231,17.852499,13.300712,11.231508"
0.05,1,98,-0.004039353324445386,-0.10153562671973711,-0.004242364522960618,0,"2.465142,11.166544,8.729824,16.111983,15.855795,13.117324"
0.05,1,99,0.02346237779603828,-0.10763848327234127,0.024678226741891685,0,"2.511311,11.934304,9.762246,15.591688,13.954394,11.173463"
0.05,1,100,0.03900495194168379,-0.10203733911172895,0.04102219234306681,0,"2.490265,10.262263,9.214794,17.22071,15.449729,13.065352"
0.05,1,101,0.01589884906879478,-0.10711294111817986,0.01672454357836972,0,"2.502393,11.826405,9.439852,16.702687,14.096117,12.04242"
0.05,1,102,0.052812216973548,-0.1020217574898598,0.05554163527148903,0,"2.475473,10.419566,10.057042,16.9366,13.896624,14.00464"
0.05,1,103,0.04559174742056859,-0.1039827815474727,0.04794883701524366,0,"2.487033,11.124621,9.607894,16.261997,15.129656,10.604543"
0.05,1,104,-0.005144033705459869,-0.10261005447310627,-0.008842609558841086,0,"2.479506,11.097824,8.772412,16.380287,15.375552,13.229492"
0.05,1,105,-0.0014013811648875456,-0.10590123939997197,-0.001468096222637938,0,"2.549149,10.186968,9.291695,16.563935,15.760025,11.661895"
0.05,1,106,0.00995168031473703,-0.10195028984940643,0.010470348419190811,0,"2.496959,10.065588,9.085314,17.575729,15.286386,13.501498"
0.05,1,107,0.05539344821625581,-0.10778415266108758,0.05825630939995674,0,"2.546784,11.26564,8.337204,16.798879,15.644067,10.938758"
0.05,1,108,-0.005167789023201338,-0.10303033760101829,-0.011705922389865786,0,"2.487326,10.560577,9.770384,16.913647,14.187864,13.493657"
0.05,1,109,-0.0052886881975002025,-0.10553716343285462,-0.006898071248240489,0,"2.535261,10.37257,8.840448,17.6907,14.097105,15.301907"
0.05,1,110,0.05295696599150832,-0.10100652264247166,0.05569379706361055,0,"2.530818,9.186231,8.808683,17.579347,15.130973,14.950509"
0.05,1,111,0.02738679170178679,-0.10622230291223865,0.02880498745142479,0,"2.507126,11.386364,9.334655,16.848797,14.268593,12.5271"
0.05,1,112,0.01480705667476016,-0.10583853048888686,0.015576369526562495,0,"2.537984,10.436179,8.864599,17.695884,13.909977,15.049978"
0.05,1,113,0.05770559659534536,-0.10383765831494576,0.0606875108872823,0,"2.498015,10.592852,9.639542,17.04834,13.98561,13.543103"
0.05,1,114,-0.005188398484240964,-0.10349148870042348,-0.009104710299755958,0,"2.491491,11.040557,8.807902,16.603873,14.975349,13.322965"
0.05,1,115,0.022159206436855913,-0.10622270911334668,0.02330776336538365,0,"2.549559,10.28151,9.240637,16.756913,15.295744,12.016633"
0.05,1,116,-0.005165424390858304,-0.10297170810875919,-0.012305684226216945,0,"2.506049,10.18036,9.068654,17.600075,14.901044,13.549638"
0.05,1,117,-0.005379133526957687,-0.10726314500406203,-0.011171704741455402,0,"2.510581,11.647707,9.364102,16.87254,13.909154,12.333738"
