sample_idx,btumor_auc,il6combo_auc,peak_il6combo,final_btumor,best_spd_pct
34,8.830954400217422e9,681388.9356880721,53633.89882518834,979339.4043532392,-99.98918678226875
35,1.505831920715093e12,19664.927631930907,2530.7217358598455,2.7780646707872944e6,-99.99504687359163
36,8.967608196375929e11,2.6791578816257347e6,98034.14745135125,1.7411793840096064e7,-99.96434622433092
37,7.251984030741299e12,1817.0808834950933,88.8732439154862,1.8582031221105353e11,0.0
38,5.279319446381304e12,14456.301289499559,1300.664107479101,1.3640266807121199e11,0.0
39,1.3133989170523066e12,68697.16601487933,1789.5309514869925,3.618644586389456e10,0.0
40,7.58462380519948e9,135.14911159384366,16.366361344289132,1.369776468652316e6,-99.98478077853862
41,9.901450759959562e12,50877.22366674374,3150.742875225763,2.748773593093408e11,0.0
42,2.2764480991733832e11,40164.719698879744,2129.402402950137,6.405439373583132e9,0.0
43,1.4852128678302309e13,57820.769263118156,2346.59558285435,3.931041158717355e11,0.0
44,2.3197845793134586e11,478.07553439795953,280.56058847128406,150674.57466800392,-99.99977020984151
45,4.713142425147582e10,4834.515955928983,1761.1561183836632,8.24868661994563e6,-99.97703174273566
46,1.7879310577000504e11,4457.516340992879,868.9187998455694,5.063152383263996e7,-99.9698094011056
47,1.4870646034163872e10,720.1814228897631,176.82735506742614,1.3855259218252145e7,-99.81612687462945
48,4.635794047387763e12,465730.3002042972,15948.611186697332,1.3187689327389253e11,0.0
49,6.972396331918594e11,3216.800216625474,1129.1413013788158,3.1908470292717677e7,-99.98481948197421
50,3.2331978008090246e8,11294.242488069069,1007.2381876701244,2.5798764124991535e6,-98.63515551800283
51,2.589088967775079e10,2484.182646242599,626.4426424871668,1.0273589644659722e6,-99.98072434508164
52,2.0080200695755237e11,12897.558321956958,1999.7822489240755,4.488260837372086e9,0.0
53,1.9858459257319521e12,8353.052637183053,300.5427479545268,5.581641019818769e10,0.0
54,3.021998119341722e9,381.2376672343733,10.029624487212377,5.331021173834749e6,-99.7938675627307
55,1.8991409276184247e11,82571.37734728392,14876.899437471033,566893.5294941001,-99.99743034758262
56,3.237524168837094e11,1.580701962355725e6,33020.22875616032,4.61787839437612e9,0.0
57,7.692807848037308e11,1696.8701651496588,241.7476459735165,1.591119172794111e6,-99.99809434855614
58,2.02523245623767e10,1235.415631345873,668.0154322190335,5.685645585767478e6,-99.95701421284718
59,6.781611089443666e12,5317.865444358129,892.5855860662991,1.9254457453110336e11,0.0
60,5.449458988338493e8,740.8289442342355,610.0931091481514,73279.97737120149,-99.99692416477602
61,4.0724846505832135e11,22787.274245569475,15465.553007720893,9.437824848151088e6,-99.98528929374028
62,4.4836279397973045e10,370.00883869768495,69.11010415604221,4.769469561387911e6,-99.9697784643088
63,2.897758866560391e11,840.5077673647128,126.08903005154372,289189.9931078528,-99.9991168758201
64,3.809302083137935e10,101.54235455110545,25.61501901241483,5.098334396675397e6,-99.98079876971259
