variant_idx	variant_name	entry_idx	action	class	name	value_numeric	value_text	is_numeric
5	combo tissues 2a	4	parameter	Bpbo_perml	Value	1000000	1.0E+6	1
5	combo tissues 2a	5	parameter	Bpbref_perml	Value	1000000	1.0E+6	1
5	combo tissues 2a	6	parameter	tissue1on	Value	1	1	1
5	combo tissues 2a	7	parameter	Vtissue	Value	7	7	1
5	combo tissues 2a	8	parameter	KTrp	Value	500	500	1
5	combo tissues 2a	9	parameter	fTap	Value	2.4	2.4	1
5	combo tissues 2a	10	parameter	KBp	Value	900	900	1
5	combo tissues 2a	11	parameter	tissue2on	Value	1	1	1
5	combo tissues 2a	12	parameter	Vtissue2	Value	25	25	1
5	combo tissues 2a	13	parameter	KTrp2	Value	500	500	1
5	combo tissues 2a	14	parameter	KBp2	Value	600	600	1
6	act optimizn 2b	1	parameter	fTaprolif	Value	3.76	3.76	1
6	act optimizn 2b	2	parameter	kTaapop	Value	0.3	0.3	1
6	act optimizn 2b	3	parameter	fTrapop	Value	446	446	1
6	act optimizn 2b	4	parameter	fTa0apop	Value	0.3	0.3	1
6	act optimizn 2b	5	parameter	fa0	Value	0.24	0.24	1
6	act optimizn 2b	6	parameter	fAICD	Value	1	1	1
6	act optimizn 2b	7	parameter	kTact	Value	1.9	1.9	1
6	act optimizn 2b	8	parameter	fTadeact	Value	0.004	0.004	1
6	act optimizn 2b	9	parameter	fTa0deact	Value	0.012	0.012	1
6	act optimizn 2b	10	parameter	kBkill	Value	661	661	1
6	act optimizn 2b	11	parameter	kTaexit	Value	158	158	1
6	act optimizn 2b	12	parameter	fBexit	Value	0	0	1
6	act optimizn 2b	13	parameter	kTgen	Value	1	1	1
6	act optimizn 2b	14	parameter	KdrugactT	Value	163	163	1
6	act optimizn 2b	15	parameter	KdrugB	Value	0.4	0.4	1
6	act optimizn 2b	16	parameter	KmBT_act	Value	0.025	0.025	1
6	act optimizn 2b	17	parameter	nkill	Value	1.44	1.44	1
6	act optimizn 2b	18	parameter	Trpbo_perml	Value	2000000	2.0E+6	1
6	act optimizn 2b	19	parameter	Bpbo_perml	Value	1000000	1.0E+6	1
6	act optimizn 2b	20	parameter	kBapop	Value	0.015	0.015	1
6	act optimizn 2b	21	parameter	kBprolif	Value	0.7	0.7	1
6	act optimizn 2b	22	parameter	fBprolif	Value	0	0	1
6	act optimizn 2b	23	parameter	act0on	Value	1	1	1
6	act optimizn 2b	24	parameter	finj	Value	0.44	0.44	1
7	combo tissues 2b	1	parameter	Vpb	Value	380	380	1
7	combo tissues 2b	2	parameter	Trpbo_perml	Value	2000000	2.0E+6	1
7	combo tissues 2b	3	parameter	Trpbref_perml	Value	2000000	2.0E+6	1
7	combo tissues 2b	4	parameter	Bpbo_perml	Value	1000000	1.0E+6	1
7	combo tissues 2b	5	parameter	Bpbref_perml	Value	1000000	1.0E+6	1
7	combo tissues 2b	6	parameter	tissue1on	Value	1	1	1
7	combo tissues 2b	7	parameter	Vtissue	Value	7	7	1
7	combo tissues 2b	8	parameter	KTrp	Value	500	500	1
7	combo tissues 2b	9	parameter	fTap	Value	2.6	2.6	1
7	combo tissues 2b	10	parameter	KBp	Value	900	900	1
7	combo tissues 2b	11	parameter	tissue2on	Value	1	1	1
7	combo tissues 2b	12	parameter	Vtissue2	Value	25	25	1
7	combo tissues 2b	13	parameter	KTrp2	Value	500	500	1
7	combo tissues 2b	14	parameter	KBp2	Value	600	600	1
8	initialTdepleted	1	parameter	depleteTpb	Value	1	1	1
9	Tgeneration	1	parameter	fTgenbl	Value	0	0	1
9	Tgeneration	2	parameter	kTgen	Value	1	1	1
10	Tgeneration 2b	1	parameter	fTgenbl	Value	1	1	1
10	Tgeneration 2b	2	parameter	kTgen	Value	1	1	1
11	act optimizn 2a_modified	1	parameter	fTaprolif	Value	10	10	1
11	act optimizn 2a_modified	2	parameter	kTaapop	Value	0.4	0.4	1
11	act optimizn 2a_modified	3	parameter	fTrapop	Value	24	24	1
11	act optimizn 2a_modified	4	parameter	fTa0apop	Value	2.4	2.4	1
11	act optimizn 2a_modified	5	parameter	fa0	Value	0.017	0.017	1
11	act optimizn 2a_modified	6	parameter	fAICD	Value	1	1	1
11	act optimizn 2a_modified	7	parameter	kTact	Value	7.6	7.6	1
11	act optimizn 2a_modified	8	parameter	fTadeact	Value	0.001	0.001	1
11	act optimizn 2a_modified	9	parameter	fTa0deact	Value	1	1	1
11	act optimizn 2a_modified	10	parameter	kBkill	Value	470	470	1
11	act optimizn 2a_modified	11	parameter	kTaexit	Value	1	1	1
11	act optimizn 2a_modified	12	parameter	fBexit	Value	0	0	1
11	act optimizn 2a_modified	13	parameter	kTgen	Value	1	1	1
11	act optimizn 2a_modified	14	parameter	KdrugactT	Value	100	100	1
11	act optimizn 2a_modified	15	parameter	KdrugB	Value	7.5	7.5	1
11	act optimizn 2a_modified	16	parameter	KmBT_act	Value	5.7	5.7	1
11	act optimizn 2a_modified	17	parameter	nkill	Value	1	1	1
11	act optimizn 2a_modified	18	parameter	Trpbo_perml	Value	2000000	2.0E+6	1
11	act optimizn 2a_modified	19	parameter	Bpbo_perml	Value	1000000	1.0E+6	1
11	act optimizn 2a_modified	20	parameter	kBapop	Value	0.03	0.03	1
11	act optimizn 2a_modified	21	parameter	kBprolif	Value	0.7	0.7	1
11	act optimizn 2a_modified	22	parameter	fBprolif	Value	0	0	1
11	act optimizn 2a_modified	23	parameter	act0on	Value	1	1	1
11	act optimizn 2a_modified	24	parameter	fdrug	Value	5.26	5.26	1
12	initialBdepleted	1	parameter	depleteBpb	Value	1	1	1
13	finj optimization	1	parameter	kTrexit	Value	0.03	0.03	1
13	finj optimization	2	parameter	finj	Value	1.2	1.2	1
14	tissue3	1	parameter	KTrp3	Value	50	50	1
14	tissue3	2	parameter	KBp3	Value	60	60	1
14	tissue3	3	parameter	tissue3on	Value	1	1	1
14	tissue3	4	parameter	Vtissue3	Value	50	50	1
14	tissue3	5	parameter	kBtiss3exit	Value	0.041	0.041	1
14	tissue3	6	parameter	fBtissue3_v1	Value	1	1	1
14	tissue3	7	parameter	kBmat_kBapop_ratio	Value	0.25	0.25	1
15	validation	1	parameter	fvalidation	Value	1	1	1
16	act optimizn v24	1	parameter	fTaprolif	Value	9.806	9.806	1
16	act optimizn v24	2	parameter	kTaapop	Value	0.639	0.639	1
16	act optimizn v24	3	parameter	fTrapop	Value	0.249	0.249	1
16	act optimizn v24	4	parameter	fTa0apop	Value	0.313	0.313	1
16	act optimizn v24	5	parameter	fa0	Value	0.002	0.002	1
16	act optimizn v24	6	parameter	fAICD	Value	22.027	22.027	1
16	act optimizn v24	7	parameter	kTact	Value	8.278	8.278	1
16	act optimizn v24	8	parameter	fTadeact	Value	0.002	0.002	1
16	act optimizn v24	9	parameter	fTa0deact	Value	1	1	1
16	act optimizn v24	10	parameter	kBkill	Value	510.411	510.411	1
16	act optimizn v24	11	parameter	kTaexit	Value	1.506	1.506	1
16	act optimizn v24	12	parameter	KdrugactT	Value	600	600	1
16	act optimizn v24	13	parameter	KdrugB	Value	0.228	0.228	1
16	act optimizn v24	14	parameter	nkill	Value	1.002	1.002	1
16	act optimizn v24	15	parameter	KmBT_act	Value	3.681	3.681	1
16	act optimizn v24	16	parameter	fTap	Value	1.52	1.52	1
16	act optimizn v24	17	parameter	kBapop	Value	0.182	0.182	1
16	act optimizn v24	18	parameter	fdrug	Value	6.999	6.999	1
16	act optimizn v24	19	parameter	kTrexit	Value	0.056	0.056	1
16	act optimizn v24	20	parameter	finj	Value	0.585	0.585	1
16	act optimizn v24	21	parameter	fapop_v24	Value	1	1	1
16	act optimizn v24	22	parameter	ndrugactT	Value	0.7	0.7	1
16	act optimizn v24	23	parameter	fBkill	Value	0.001959	0.001959	1
17	tissue3_v2	1	parameter	KTrp3	Value	50	50	1
17	tissue3_v2	2	parameter	KBp3	Value	60	60	1
17	tissue3_v2	3	parameter	tissue3on	Value	1	1	1
17	tissue3_v2	4	parameter	Vtissue3	Value	50	50	1
17	tissue3_v2	5	parameter	kBtiss3exit	Value	1	1	1
17	tissue3_v2	6	parameter	fBtissue3_v1	Value	0	0	1
17	tissue3_v2	7	parameter	kBmat_kBapop_ratio	Value	0.2218935	0.2218935	1
