time,Bpb_perml,totTpb_perml,Tafraction_pb,BTtotRatio_tiss,BTtotRatio_tiss2,IL6combo
3,150.464195659228,758100.405447392,0.0481151409638654,0.0740173554715605,0.00519784911935766,0.867601864060323
3.1,151.17969531942,789380.075578042,0.0453979211554266,0.0559075416141768,0.00253367112692643,0.61559704712498
3.2,151.885557049439,820790.765741517,0.0428810737802203,0.0394993013523526,0.00173305904714062,0.443929015923287
3.3,152.606546342938,852246.620149672,0.0405543685436597,0.0252166213572479,0.00152511023863725,0.313855758788877
3.4,153.348027942193,883662.661783786,0.0384074480386274,0.0138544507037643,0.00147405631173264,0.215048722324972
3.5,154.111754079398,914954.524433065,0.0364299492999219,0.00648126385741933,0.00146172112010515,0.149632093916956
3.6,154.898293179905,946042.796769154,0.0346101282390461,0.00318190797666443,0.0014592607702966,0.117452389629467
3.7,155.707895333771,976851.785694894,0.0329340573717644,0.00221020747309402,0.00145986533973911,0.106040302709451
3.8,156.540965855844,1007315.00355175,0.0313871501076353,0.00197667526987869,0.00146169002923312,0.101871492992227
3.9,157.398234844814,1037371.3664536,0.0299562590757836,0.00192409108507836,0.0014642676676162,0.099565757662933
4,158.280696386563,1066963.46727734,0.0286300424971853,0.0019138327571785,0.00146746672942612,0.0977254960258522
4.1,159.189528105526,1096031.8034727,0.0273988214797441,0.00191393052184089,0.00147124257768543,0.0960275103160471
4.2,160.126051602316,1124508.73260308,0.0262543861729516,0.00191687855031456,0.00147557653630877,0.0943950146429557
4.3,161.091725229693,1152348.84223221,0.0251890333327546,0.00192093677666397,0.00148045852768579,0.0928107701329813
4.4,162.088116803836,1179505.87276009,0.0241960017449015,0.00192578727363225,0.00148588208111953,0.0912703492898153
4.5,163.116941657579,1205944.68365879,0.0232691012635271,0.00193133609269505,0.00149184320605537,0.0897720617861157
4.6,164.179990713479,1231632.61641855,0.0224027785615657,0.00193751096348715,0.00149833902728704,0.08831442648414
4.7,165.279226862535,1256544.63115772,0.0215919988927489,0.00194437002529191,0.00150536878693236,0.086897515556818
4.8,166.41673878901,1280660.02097728,0.0208322140891293,0.00195193617469112,0.00151293295254527,0.0855211672146655
4.9,167.594937885571,1303959.29844412,0.0201193479150545,0.0019601886658015,0.00152103355843876,0.0841839925099109
5,168.816494235713,1326432.40747262,0.0194496263012029,0.001969128250534,0.00152967437292123,0.0828859931006022
5.1,170.083981236425,1348066.39751347,0.0188197040917871,0.00197875377609665,0.00153885905736448,0.081626827949657
5.2,171.399718896502,1368841.52766349,0.0182266481088121,0.00198906332988291,0.00154859041197148,0.0804055226017899
5.3,172.767170996385,1388770.50793624,0.0176674365785217,0.00200007141429285,0.00155887661554667,0.0792220826275965
5.4,174.190042502345,1407872.94297247,0.017139289685655,0.0020117965271251,0.00156972718419092,0.0780766706833325
5.5,175.670687852949,1426129.83072994,0.0166401225745935,0.0020242370822125,0.00158114595536623,0.0769685698191321
5.6,177.213315116764,1443557.82218031,0.0161676780441119,0.0020374091582141,0.00159314417303578,0.0758976532200696
5.7,178.823558030436,1460195.17228589,0.0157197177259591,0.00205133881837107,0.00160573848248315,0.0748640408530761
5.8,180.504001142698,1476033.92986322,0.0152946529090695,0.00206603174108163,0.00161893468205444,0.0738673248734096
5.9,182.259512188558,1491088.9041786,0.0148908348033611,0.00208150509634668,0.00163274631409473,0.0729074464888739
6,184.098020352505,1505389.4687168,0.0145066562643207,0.00209778551932819,0.00164719621679423,0.0719847527222417
6.1,186.022633008807,1518942.05818871,0.0141408255440531,0.00211488548830069,0.00166229309768204,0.0710989514340924
6.2,188.038920580995,1531762.90491537,0.0137920911828287,0.00213282528894602,0.00167805292223199,0.0702500748123427
6.3,190.157490233003,1543879.66058901,0.0134592364146984,0.00215164151986459,0.00169450519558865,0.0694388085487843
6.4,192.382199132142,1555304.67321125,0.0131412432006697,0.00217134955544361,0.00171166171818007,0.0686649625408267
6.5,194.719455143358,1566056.03215617,0.0128371400978734,0.00219197332285089,0.00172954121657653,0.0679286750873881
6.6,197.183978220825,1576169.49443538,0.0125459230924109,0.00221356791509505,0.00174818418413397,0.0672310909288049
6.7,199.779612047935,1585657.69916499,0.0122668113675409,0.00223614828314818,0.00176760308265786,0.0665720378886799
6.8,202.513904478898,1594541.15880629,0.011999035158991,0.00225974342717488,0.0017878201754215,0.065951792297704
6.9,205.333773684617,1602843.40956981,0.011741866475444,0.00228339534829413,0.00180778945527073,0.0654452230356495
6.99,207.791361574399,1609843.41988366,0.0115188986733556,0.00230215668830703,0.00182275621168148,0.0652832118950382
7,208.057320524717,1610594.41209763,0.0114945992965294,0.00230405140917084,0.00182419740869572,0.0652856826010281
7.1,207.617989951696,237445.186093201,0.0756610687194352,0.00218862015033967,0.00176235566170865,0.0696773098753708
7.2,204.674484407875,250905.383575715,0.0704988866941493,0.00212043095484149,0.00166986856966531,0.0744396215377358
