time,TDBc_ugperkg,TDBc_ugperml,Btumor,IL6combo
0.344298486141776,27.5153780848368,0.748107071365873,80941693196.9068,63.7109253744526
0.356289974305872,27.1629157468789,0.73852408229687,80944656986.6006,64.6482399224715
0.381268220088588,26.4441050418733,0.718980561225484,80949081375.1588,66.3202761441878
0.406246465871303,25.7456979282006,0.699991787063638,80951173619.7512,67.6193584395844
0.431224711654019,25.0671584095882,0.6815431867751,80950982773.6599,68.5566461004185
0.456202957436734,24.4079479752503,0.663620118957323,80948562068.2297,69.1449696039939
0.519861463046128,22.8106330038779,0.620191218158725,80932839682.578,69.1798531648422
0.583519968655521,21.3271396801636,0.579856978797271,80904035000.8115,67.2890420132272
0.647178474264914,19.9498720669817,0.542410877296946,80863193879.0853,63.7548520688432
0.710836979874307,18.6714816821323,0.507653118056887,80811456916.8456,58.8784005908089
0.810269947335275,16.8572603021351,0.458326816262511,80711591000.0725,49.300251546977
0.909702914796244,15.2439989439786,0.414464354104909,80592839471.1957,38.4144983185769
1.00913588225721,13.8094359887136,0.375460467338598,80460395216.0169,27.4517034897673
1.07107070287057,12.9972379786164,0.353377867825351,80373287092.1192,21.1302818257124
1.11589013818395,12.4455217751662,0.338377427274775,80308883742.9158,17.0229977574601
1.16070957349733,11.9223747223125,0.324153744489192,80243779440.4781,13.4746958594605
1.19338659418483,11.5581193716663,0.314250118859877,80196069898.2572,11.3174247997637
1.22040993494206,11.2673601981703,0.306344757970917,80156550242.8012,9.82584674997166
1.22636944203773,11.2044918415022,0.304635449741767,80147831310.2523,9.53256153443789
1.2323289491334,11.1420634403657,0.302938103326962,80139113351.3587,9.25142812493906
1.23828845622907,11.0800740663754,0.301252693484922,80130396402.3421,8.98189182563207
1.24424796332473,11.0185215884474,0.299579162274262,80121680732.1758,8.72347777744013
1.25695617126743,10.8887115203417,0.296049796637893,80103101315.4105,8.20762341614019
1.26966437921013,10.7608471122095,0.292573330946424,80084533287.7112,7.73609471614172
1.28237258715283,10.6348989910213,0.289148966585679,80065980392.9854,7.30473227726038
1.29508079509553,10.510838213282,0.285775916619956,80047446032.9065,6.90974677089785
1.30778900303823,10.38863662695,0.282453415632137,80028933230.5394,6.54786844984597
1.32387452906989,10.2365818117083,0.278319244472764,80005535643.348,6.13317247341597
1.33996005510155,10.0874064520743,0.274263361937854,79982181901.2719,5.7631736241101
1.3560455811332,9.94105641366765,0.270284296184547,79958876405.4651,5.43498029721159
1.37213110716486,9.79747845926177,0.266380599762419,79935623086.7518,5.14640964402182
1.38821663319652,9.65662031803315,0.262550851496279,79912425449.6872,4.89546533886091
1.40430215922818,9.51843069584197,0.258793656765687,79889286616.0997,4.67991322965292
1.42301847526771,9.36093221686298,0.254511479523191,79862441128.4887,4.46996419228005
1.44173479130725,9.20690060127009,0.250323561752857,79835682924.3678,4.29883457048077
1.46045110734679,9.05625971258591,0.246227833403641,79809015460.5486,4.16030276242094
1.47916742338632,8.90893502452008,0.242222268203373,79782441812.8973,4.04789079984347
1.49788373942586,8.76485359488147,0.238304882949469,79755964728.8701,3.95557583877548
1.5166000554654,8.62394403373539,0.234473736643159,79729586672.6809,3.87825601386056
1.53537542728996,8.48570648139949,0.230715238754744,79703227116.4694,3.81168277465273
1.55415079911453,8.35052150473426,0.22703973639843,79676971480.5128,3.7530024893334
1.57292617093909,8.21832155217035,0.223445392935572,79650821613.9874,3.69991816249996
1.59170154276366,8.08904052078805,0.219930411114411,79624779207.8188,3.65080022106516
1.61047691458822,7.96261372726562,0.216493032280196,79598845814.7595,3.60453286318738
1.62925228641279,7.83897787913379,0.213131535593632,79573022866.4108,3.56036687013115
1.65049503955749,7.70238164241268,0.209417662925848,79543941205.6459,3.51230962000212
1.6717377927022,7.56919122870112,0.20579639012238,79515004391.1267,3.46582622830911
1.6929805458469,7.43932113789894,0.202265392547551,79486214060.1444,3.42061007057491
1.7142232989916,7.31268795881201,0.198822402360305,79457571727.2031,3.37647628159137
1.73546605213631,7.18921032177298,0.195465207226019,79429078795.861,3.33331467360918
1.75670880528101,7.06880885075806,0.192191649014629,79400736569.2987,3.29105014767108
1.77795155842572,6.95140611640051,0.188999622523124,79372546258.8578,3.24962449164012
1.80857698810197,6.78727385618003,0.184537081462209,79332174258.6293,3.19130487235261
1.83920241777822,6.62899815745665,0.180233772633405,79292123419.0188,3.13458733182686
1.86982784745448,6.47636723163141,0.176083937782257,79252396497.6195,3.07942862834385
1.90045327713073,6.32917677418032,0.172082022136496,79212995950.4956,3.02578206803352
1.93107870680698,6.18722971295313,0.168222667562619,79173923945.2149,2.9736024911732
1.96170413648323,6.05033597120579,0.16450070612305,79135182369.668,2.92285652513794
2.01933881189491,5.80578527217899,0.157851693098939,79063174932.281,2.83114381801428
2.07697348730658,5.57732907190573,0.15164026840418,78992351383.1651,2.74420351131511
2.13460816271825,5.36387997369317,0.145836867147721,78922716907.0719,2.66182301811634
2.19224283812993,5.16442623672734,0.140413981422712,78854273460.1038,2.58378622474638
2.2498775135416,4.97802461119762,0.135345965502926,78787019962.9182,2.50988870559689
2.39186694933711,4.5673800128054,0.124181077020267,78626379068.2054,2.34371416622377
2.53385638513261,4.21926080926973,0.11471617208455,78472814760.2181,2.19873284163341
2.67584582092812,3.92409253387364,0.10669093349303,78326119453.9728,2.07257342360583
2.81783525672362,3.67342346982988,0.0998755701421936,78186008262.0044,1.96287786697524
3.06498227578317,3.32408998926659,0.0903776506053993,77956788047.4859,1.80549520886338
3.31212929484272,3.0587147299286,0.0831624450769059,77744424009.151,1.68195757896965
3.55927631390227,2.85441861812789,0.0776079015260438,77546777461.9929,1.58403183613781
3.80642333296182,2.69513361164374,0.073277150941918,77361820068.1566,1.50561463140766
4.05357035202137,2.5693580384831,0.069857477935919,77187736532.9548,1.4421632888564
4.37529901462473,2.44240727636856,0.0664058530823425,76974864445.76,1.37648405686488
4.6970276772281,2.34417482075632,0.0637350413473714,76774870573.4803,1.32442020963147
5.01875633983147,2.26532517874911,0.061591222913244,76585508823.1644,1.28183032509955
5.34048500243483,2.19979441458902,0.059809527313459,76405099214.1278,1.24596719034157
5.6622136650382,2.1435358070806,0.0582799295019196,76232383952.4573,1.21495897680065
6.15050535767521,2.07022094325092,0.0562865944331408,75982971896.8235,1.17450791285666
6.63879705031223,2.0056843917685,0.0545319301731511,75746765417.4798,1.13914926647064
7.12708874294924,1.94646894617797,0.0529219398090803,75522285984.6175,1.10706284733747
7.61538043558625,1.89089994783874,0.0514110915671218,75308695376.162,1.07729584493005
